dim;Iters;Tempo;alfa
2.0;42.0;0.03404355049133301;0.01
6.0;121.0;0.04687976837158203;0.01
10.0;201.0;0.0783076286315918;0.01
14.0;281.0;0.1034247875213623;0.01
18.0;361.0;0.1940300464630127;0.01
22.0;441.0;0.26758694648742676;0.01
26.0;521.0;0.4373438358306885;0.01
2.0;41.0;0.016025543212890625;0.05
6.0;121.0;0.04720473289489746;0.05
10.0;201.0;0.07119154930114746;0.05
14.0;281.0;0.11123466491699219;0.05
18.0;292.0;0.1542496681213379;0.05
22.0;292.0;0.17326903343200684;0.05
26.0;292.0;0.2067272663116455;0.05
2.0;41.0;0.015513181686401367;0.1
6.0;121.0;0.04660940170288086;0.1
10.0;143.0;0.1036078929901123;0.1
14.0;143.0;0.056066274642944336;0.1
18.0;143.0;0.07741379737854004;0.1
22.0;143.0;0.09819865226745605;0.1
26.0;143.0;0.1015157699584961;0.1
2.0;41.0;0.015001058578491211;0.3
6.0;44.0;0.016968727111816406;0.3
10.0;44.0;0.019003868103027344;0.3
14.0;44.0;0.017523765563964844;0.3
18.0;44.0;0.02531290054321289;0.3
22.0;44.0;0.030707836151123047;0.3
26.0;44.0;0.03316378593444824;0.3
2.0;22.0;0.00999903678894043;0.5
6.0;23.0;0.00799870491027832;0.5
10.0;23.0;0.011000871658325195;0.5
14.0;23.0;0.012094497680664062;0.5
18.0;23.0;0.015035867691040039;0.5
22.0;23.0;0.016080141067504883;0.5
26.0;23.0;0.02102804183959961;0.5
2.0;14.0;0.006001710891723633;0.7
6.0;15.0;0.006999492645263672;0.7
10.0;15.0;0.006002187728881836;0.7
14.0;15.0;0.007010221481323242;0.7
18.0;15.0;0.011531352996826172;0.7
22.0;15.0;0.012378931045532227;0.7
26.0;15.0;0.013995647430419922;0.7
2.0;13.0;0.005001068115234375;0.8
6.0;13.0;0.0059986114501953125;0.8
10.0;13.0;0.006000041961669922;0.8
14.0;13.0;0.00699925422668457;0.8
18.0;13.0;0.009999990463256836;0.8
22.0;13.0;0.010999202728271484;0.8
26.0;13.0;0.01425623893737793;0.8
2.0;11.0;0.005998849868774414;0.9
6.0;11.0;0.007002592086791992;0.9
10.0;11.0;0.005997657775878906;0.9
14.0;11.0;0.01000833511352539;0.9
18.0;11.0;0.013204336166381836;0.9
22.0;11.0;0.009079694747924805;0.9
26.0;11.0;0.01100015640258789;0.9
2.0;9.0;0.004998922348022461;0.95
6.0;10.0;0.005002737045288086;0.95
10.0;10.0;0.0070002079010009766;0.95
14.0;10.0;0.0050067901611328125;0.95
18.0;10.0;0.007855653762817383;0.95
22.0;10.0;0.009714365005493164;0.95
26.0;10.0;0.011579036712646484;0.95
2.0;7.0;0.005001068115234375;0.99
6.0;8.0;0.004999876022338867;0.99
10.0;8.0;0.007001161575317383;0.99
14.0;8.0;0.006953716278076172;0.99
18.0;8.0;0.00709080696105957;0.99
22.0;8.0;0.007975578308105469;0.99
26.0;8.0;0.00995779037475586;0.99
